Source,Dest,RateLimit,Latency,LeaseCost
38,68,16,11.035464,1055
21,5,13,13.673376,561
57,47,8,19.153780,1125
14,43,15,2.205763,566
24,5,9,10.684809,1108
4,29,13,19.251364,996
4,45,6,3.283159,1121
69,16,20,1.609799,877
49,29,11,15.531526,733
13,8,6,4.589945,299
36,49,18,2.601798,771
53,4,15,5.150716,526
19,51,15,19.346581,729
60,36,7,12.155052,319
48,9,11,10.901203,139
3,14,18,2.095453,1083
45,39,7,20.178151,120
38,27,20,2.407239,1196
62,67,8,15.699365,352
40,50,12,18.016680,1130
56,60,19,4.474276,555
34,44,12,2.324256,969
51,66,6,18.020680,105
64,18,12,7.882247,388
8,40,11,15.057428,756
38,57,15,14.848248,182
53,40,14,8.066536,1093
30,5,9,19.955070,668
45,40,17,5.067413,389
40,14,16,10.367365,399
5,20,12,7.573494,339
31,37,6,7.490559,880
32,18,8,12.178872,566
62,66,12,17.388613,701
67,44,10,9.820146,397
43,29,17,4.640088,664
37,57,5,18.232530,258
57,0,8,7.910779,559
65,3,9,9.102687,957
32,37,11,20.136171,519
6,42,5,2.435308,650
5,2,5,2.437330,226
47,29,12,8.738352,536
50,52,9,20.016204,209
62,27,5,12.535342,1084
69,41,18,13.414257,551
20,9,20,7.777619,788
54,47,9,13.036758,999
65,63,18,0.902602,649
19,49,14,10.518778,1045
49,43,17,13.548277,508
15,67,8,1.658367,174
57,50,13,3.931806,1186
11,18,13,8.129544,688
48,7,5,8.796795,645
15,4,11,2.870854,212
47,24,5,2.672897,571
12,37,15,15.334864,659
46,51,10,8.124847,947
11,21,11,6.049682,719
22,50,9,15.220467,310
15,21,6,20.450307,538
10,36,7,17.724404,234
35,12,16,4.791092,937
61,28,14,8.639346,1140
53,65,8,11.662644,446
35,34,15,4.893641,613
68,9,18,4.193077,1072
15,52,12,10.288548,1000
52,44,18,10.108910,190
45,24,13,4.290826,980
9,17,16,5.790178,268
43,64,15,20.417593,309
33,58,14,14.744649,1068
41,54,5,11.128865,102
2,16,11,5.191562,1115
46,40,15,4.428609,1108
8,1,17,1.312015,568
57,39,8,1.202224,952
49,48,7,16.647502,539
36,27,8,16.675156,666
55,52,11,0.273557,544
22,56,18,3.757095,942
49,25,14,13.835881,824
58,24,20,16.085673,681
6,25,19,7.887692,1190
12,11,19,1.690849,799
19,22,9,14.411695,842
7,48,13,15.541620,123
33,66,6,13.863958,971
55,22,14,3.978415,763
20,15,10,0.327807,1159
17,34,13,12.817189,559
8,24,18,9.888046,1178
49,18,12,13.404907,593
22,24,10,10.477714,553
29,58,5,6.103376,379
32,52,12,18.385589,246
40,6,5,14.637689,1079
23,59,7,1.387015,960
67,23,12,6.612768,923
39,23,13,15.059413,449
9,50,20,19.275280,760
22,12,15,19.643437,561
2,11,6,1.730930,707
22,5,16,10.917713,1080
62,58,8,3.993578,752
9,10,16,20.267909,747
36,23,15,1.026542,474
45,57,20,5.405161,966
63,16,20,16.664963,1112
48,64,8,3.038089,742
16,2,18,15.936937,655
30,2,14,5.544869,335
37,11,20,11.423565,1054
3,18,20,15.995287,574
69,24,9,4.282801,632
45,46,13,0.932581,361
30,63,7,1.255674,1037
46,37,15,17.706797,664
1,18,17,15.475127,255
50,0,7,8.413685,824
9,56,14,2.736115,989
12,67,9,12.923885,381
27,41,20,5.351175,1014
50,16,19,15.794420,436
58,38,9,3.684403,626
49,22,14,8.454268,332
24,55,6,12.313314,719
14,46,10,16.917992,503
68,48,18,4.936711,101
56,48,9,4.301861,394
43,31,13,16.419539,586
9,43,16,4.684291,1114
33,55,16,3.845794,604
47,55,7,16.169003,563
25,24,16,5.330367,373
45,42,5,9.259486,758
54,5,11,9.062691,960
34,56,20,4.562611,1022
32,48,13,6.591562,1159
18,39,12,15.422935,619
